Time; EkX; EodomX; EcamX; Ykx
0,033;1,000;0,000;0,000;0,000
0,102;1,000;0,000;0,000;0,000
0,171;-0,078;-0,152;-0,102;0,050
0,301;-0,094;-0,154;-0,104;0,050
0,414;-0,084;-0,155;-0,105;0,050
0,502;-0,095;-0,157;-0,107;0,050
0,591;-0,089;-0,159;-0,109;0,050
0,638;-0,098;-0,161;-0,111;0,050
0,691;-0,098;-0,161;-0,111;0,050
0,766;-0,094;-0,162;-0,112;0,050
0,826;-0,094;-0,162;-0,112;0,050
0,890;-0,100;-0,164;-0,114;0,050
0,979;-0,098;-0,166;-0,116;0,050
1,037;-0,103;-0,168;-0,118;0,050
1,086;-0,103;-0,168;-0,118;0,050
1,162;-0,102;-0,170;-0,120;0,050
1,214;-0,102;-0,170;-0,120;0,050
